,data_id,event_date,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,admin1,admin2,admin3,location,latitude,longitude,source,notes,fatalities,timestamp
0,6023057,2019-10-10,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,YPG: Peoples Protection Units,,Ar-Raqqa,Tell Abiad,Suluk,Hammam al Turkman,36.5272,39.0776,Liveuamap,"On 10 October 2019, Turkish warplanes carried out air raids on YPG positions in the town of Hammam Al Turkman with neither injuries nor fatalities reported.",0,1571090204
1,6023249,2019-10-10,Battles,Armed clash,Military Forces of Turkey (2016-),Islamist Militia (Syria),YPG: Peoples Protection Units,,Aleppo,A'zaz,A'zaz,Maraanaz,36.5511,37.0187,SOHR,"On 10 October 2019, Turkish and pro-Turkish Islamist faction fighters shelled the town of Maraanaz while clashing with YPG forces in the area with casualties reported on both sides. Fatalities coded to 0.",0,1571090204
2,6049159,2019-10-09,Battles,Armed clash,Military Forces of Turkey (2016-),,YPG: Peoples Protection Units - Anti-Terror Unit,,Al-Hasakeh,Ras Al Ain,Darbasiyah,Darbasiyah,37.0700,40.6540,SHAM; Liveuamap,"On 09 October, 2019, clashes took place between Turkish forces and YPG as part of Operation Peace Spring near Darbasiyah border crossing in Darbasiyah in al-Hasakeh. No advances were reported. Neither fatalities nor injuries were reported.",0,1571164404
3,6049179,2019-10-09,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,YPG: Peoples Protection Units - Anti-Terror Unit,,Ar-Raqqa,Tell Abiad,Ein Issa,Ein Issa,36.3837,38.8628,Liveuamap; SOHR,"On 09 October, 2019, Turkish warplanes carried out airstrikes on a military base of YPG's anti-terror units in Hoshan, near Ein Issa in Ar-Raqqa. 7 YPG fighters were killed and 16 were wounded.",7,1571164404
4,6023095,2019-10-09,Battles,Armed clash,Military Forces of Turkey (2016-),,YPG: Peoples Protecre reported.",0,1571090204
5,6049156tion Units - Anti-Terror Unit,,Al-Hasakeh,Quamishli,Quamishli,Quamishli,37.0447,41.2262,SHAM,"On 09 October, 2019, clashes took place between Turkish forces and YPG as part of Operation Peace Spring on the outskirts of Quamishli city in al-Hasakeh. No advances were reported. Neither fatalities nor injuries we,2019-10-08,Battles,Armed clash,Military Forces of Turkey (2016-),,YPG: Peoples Protection Units,,Aleppo,Afrin,Afrin,Mreimin Afrin,36.5304,36.9496,Liveuamap; SOHR,"On 08 October, 2019, Turkish forces shelled Mreimin area in Afrin district of Aleppo using artillery shells while YPG targeted the town with artillery in response. Neither fatalities nor injuries were reported.",0,1571164404
6,6077854,2019-10-02,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,YPG: Peoples Protection Units,,Aleppo,A'zaz,Tall Refaat,Tall Refaat,36.4726,37.0941,Liveuamap,"On 2 October 2019, Turkish ground forces shelled YPG positions on the outskirts of the town of Tall Refaat with neither injuries nor fatalities reported.",0,1571164572
7,6079672,2019-10-02,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,YPG: Peoples Protection Units,,Aleppo,A'zaz,A'zaz,Menagh - Military Airport,36.5220,37.0383,Liveuamap,"On 2 October 2019, Turkish ground forces shelled YPG positions at the Menagh Military Airport with neither injuries nor fatalities reported.",0,1571164581
8,6049054,2019-10-01,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,YPG: Peoples Protection Units,,Aleppo,A'zaz,A'zaz,Menagh - Military Airport,36.5220,37.0383,Liveuamap; SOHR,"On 1 October 2019, Turkish ground forces shelled YPG positions at the Menagh Military Airport with neither injuries nor fatalities reported.",0,1571164403
9,6049056,2019-10-01,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,YPG: Peoples Protection Units,,Aleppo,A'zaz,Tall Refaat,Tall Refaat,36.4726,37.0941,SOHR; Liveuamap,"On 1 October 2019, Turkish ground forces shelled YPG positions in the town of Tall Refaat with neither injuries nor fatalities reported.",0,1571164403
