,actor1,actor2,admin1,admin2,admin3,assoc_actor_1,assoc_actor_2,country,data_id,event_date,event_id_cnty,event_id_no_cnty,event_type,fatalities,geo_precision,inter1,inter2,interaction,iso,iso3,latitude,location,longitude,notes,region,source,source_scale,sub_event_type,time_precision,timestamp,year
0,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Ar-Raqqa,Tell Abiad,Suluk,,,Syria,6023057,2019-10-10,SYR68389,68389,Explosions/Remote violence,0,1,8,2,28,760,SYR,36.5272,Hammam al Turkman,39.0776,"On 10 October 2019, Turkish warplanes carried out air raids on YPG positions in the town of Hammam Al Turkman with neither injuries nor fatalities reported.",Middle East,Liveuamap,Local partner-New media,Air/drone strike,1,1571090204,2019
1,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,A'zaz,Islamist Militia (Syria),,Syria,6023249,2019-10-10,SYR68358,68358,Battles,0,1,8,2,28,760,SYR,36.5511,Maraanaz,37.0187,"On 10 October 2019, Turkish and pro-Turkish Islamist faction fighters shelled the town of Maraanaz while clashing with YPG forces in the area with casualties reported on both sides. Fatalities coded to 0.",Middle East,SOHR,Other,Armed clash,1,1571090204,2019
2,Military Forces of Turkey (2016-),YPG: Peoples Protection Units - Anti-Terror Unit,Al-Hasakeh,Ras Al Ain,Darbasiyah,,,Syria,6049159,2019-10-09,SYR68354,68354,Battles,0,2,8,2,28,760,SYR,37.0700,Darbasiyah,40.6540,"On 09 October, 2019, clashes took place between Turkish forces and YPG as part of Operation Peace Spring near Darbasiyah border crossing in Darbasiyah in al-Hasakeh. No advances were reported. Neither fatalities nor injuries were reported.",Middle East,SHAM; Liveuamap,Local partner-New media,Armed clash,1,1571164404,2019
3,Military Forces of Turkey (2016-),YPG: Peoples Protection Units - Anti-Terror Unit,Ar-Raqqa,Tell Abiad,Ein Issa,,,Syria,6049179,2019-10-09,SYR68386,68386,Explosions/Remote violence,7,2,8,2,28,760,SYR,36.3837,Ein Issa,38.8628,"On 09 October, 2019, Turkish warplanes carried out airstrikes on a military base of YPG's anti-terror units in Hoshan, near Ein Issa in Ar-Raqqa. 7 YPG fighters were killed and 16 were wounded.",Middle East,Liveuamap; SOHR,Local partner-New media,Air/drone strike,1,1571164404,2019
4,Military Forces of Turkey (2016-),YPG: Peoples Protection Units - Anti-Terror Unit,Al-Hasakeh,Quamishli,Quamishli,,,Syria,6023095,2019-10-09,SYR68355,68355,Battles,0,1,8,2,28,760,SYR,37.0447,Quamishli,41.2262,"On 09 October, 2019, clashes took place between Turkish forces and YPG as part of Operation Peace Spring on the outskirts of Quamishli city in al-Hasakeh. No advances were reported. Neither fatalities nor injuries were reported.",Middle East,SHAM,National,Armed clash,1,1571090204,2019
5,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,Afrin,Afrin,,,Syria,6049156,2019-10-08,SYR68351,68351,Battles,0,2,8,2,28,760,SYR,36.5304,Mreimin Afrin,36.9496,"On 08 October, 2019, Turkish forces shelled Mreimin area in Afrin district of Aleppo using artillery shells while YPG targeted the town with artillery in response. Neither fatalities nor injuries were reported.",Middle East,Liveuamap; SOHR,Local partner-New media,Armed clash,1,1571164404,2019
6,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,Tall Refaat,,,Syria,6077854,2019-10-02,SYR68071,68071,Explosions/Remote violence,0,1,8,2,28,760,SYR,36.4726,Tall Refaat,37.0941,"On 2 October 2019, Turkish ground forces shelled YPG positions on the outskirts of the town of Tall Refaat with neither injuries nor fatalities reported.",Middle East,Liveuamap,Local partner-New media,Shelling/artillery/missile attack,1,1571164572,2019
7,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,A'zaz,,,Syria,6079672,2019-10-02,SYR68070,68070,Explosions/Remote violence,0,1,8,2,28,760,SYR,36.5220,Menagh - Military Airport,37.0383,"On 2 October 2019, Turkish ground forces shelled YPG positions at the Menagh Military Airport with neither injuries nor fatalities reported.",Middle East,Liveuamap,Local partner-New media,Shelling/artillery/missile attack,1,1571164581,2019
8,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,A'zaz,,,Syria,6049054,2019-10-01,SYR68066,68066,Explosions/Remote violence,0,1,8,2,28,760,SYR,36.5220,Menagh - Military Airport,37.0383,"On 1 October 2019, Turkish ground forces shelled YPG positions at the Menagh Military Airport with neither injuries nor fatalities reported.",Middle East,Liveuamap; SOHR,Local partner-New media,Shelling/artillery/missile attack,1,1571164403,2019
9,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,Tall Refaat,,,Syria,6049056,2019-10-01,SYR68069,68069,Explosions/Remote violence,0,1,8,2,28,760,SYR,36.4726,Tall Refaat,37.0941,"On 1 October 2019, Turkish ground forces shelled YPG positions in the town of Tall Refaat with neither injuries nor fatalities reported.",Middle East,SOHR; Liveuamap,Local partner-New media,Shelling/artillery/missile attack,1,1571164403,2019
10,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,Mare',,,Syria,6075042,2019-10-01,SYR68067,68067,Explosions/Remote violence,0,1,8,2,28,760,SYR,36.4306,Harbal,37.1669,"On 1 October 2019, Turkish ground forces shelled YPG positions in the town of Harbal with neither injuries nor fatalities reported.",Middle East,Liveuamap,Local partner-New media,Shelling/artillery/missile attack,1,1571164568,2019
11,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,Mare',,,Syria,6048963,2019-09-28,SYR67788,67788,Explosions/Remote violence,0,2,8,2,28,760,SYR,36.4306,Harbal,37.1669,"On 28 September, 2019, Turkish forces shelled YPG positions in the vicinity of Harbal in northern Aleppo countryside. Neither fatalities nor injuries were reported.",Middle East,SOHR; Liveuamap,Local partner-New media,Shelling/artillery/missile attack,1,1571164403,2019
12,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,Tall Refaat,,,Syria,6017783,2019-09-28,SYR68078,68078,Explosions/Remote violence,0,2,8,2,28,760,SYR,36.4726,Tall Refaat,37.0941,"On 28 September, 2019, Turkish forces shelled YPG positions in the vicinity of Tall Refaat in northern Aleppo countryside. Neither fatalities nor injuries were reported.",Middle East,SOHR,Other,Shelling/artillery/missile attack,1,1570485539,2019
13,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,Mare',Opposition Rebels (Syria),,Syria,6048866,2019-09-16,SYR67525,67525,Battles,0,1,8,2,28,760,SYR,36.4827,Mare',37.1965,"On 16 September 2019, sporadic clashes, involving medium machine guns, took place between Turkish forces, supported by pro-Turkey opposition factions, and YPG in areas in the outskirts and vicinity of Mare' in Aleppo amid shelling of YPG areas by Turkish forces. Clashes and shelling resulted in the wounding of several fighters from both sides. No fatalities were reported.",Middle East,SOHR; Liveuamap,Local partner-New media,Armed clash,1,1571164403,2019
14,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,A'zaz,,,Syria,6081802,2019-09-02,SYR66905,66905,Explosions/Remote violence,0,1,8,2,28,760,SYR,36.5511,Maraanaz,37.0187,"On 02 September 2019, Turkish forces shelled YPG positions in Maraanaz in Aleppo. Neither injuries nor fatalities were reported.",Middle East,Liveuamap,Local partner-New media,Shelling/artillery/missile attack,1,1571164584,2019
